RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 196.6358578844588
R_out : 1.41
R_in  : 0.059
N     : 200
M     : 200
dt    : 0.05
thrust: 21.99003456800724
eta   : 0.8834669065767955
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
6.237749999999999545e-02,9.939112783622980687e-03,nan,8.115915385336083432e+01,nan,1.463713522792965682e-02,5.410921305833870065e+03,3.698030910244168301e-01,7.856129170536908790e-02,7.964672544493822670e+00,9.646848371378243881e-04,2.049384895193510751e-04
6.913249999999999951e-02,1.639988420445750647e-02,nan,8.000674128002206942e+01,nan,2.404851327947411105e-02,8.945716926478835376e+03,3.675011909059245352e-01,6.163644135266627133e-02,7.980290409539182228e+00,1.588065352807079824e-03,2.663466116700327537e-04
7.588749999999999662e-02,2.370147520301571498e-02,8.273297496796588746e+01,7.934881550100250536e+01,3.384159466963388763e+00,3.456906756232260708e-02,1.294989201709160443e+04,3.649280007718485042e-01,5.347995226792600504e-02,7.993465325987141767e+00,2.286568429259258455e-03,3.350950603831141339e-04
8.264250000000000762e-02,3.152210093133135660e-02,8.176418300583881660e+01,7.855654176058381211e+01,3.207641245254999163e+00,4.572053527534366418e-02,1.725630997387868047e+04,3.622004974551845669e-01,4.880553337710211159e-02,8.008978064876156822e+00,3.030050401368496443e-03,4.082910626498781489e-04
8.939750000000000474e-02,4.025435013416781005e-02,8.079384314030600933e+01,7.771560044837190162e+01,3.078242691934108599e+00,5.802546139329026187e-02,2.208406307639941951e+04,3.591908732817839511e-01,4.561324184228272155e-02,8.026209384348886644e+00,3.853812044825806991e-03,4.893912231378969848e-04
9.615250000000000186e-02,5.079408353366210438e-02,8.011939999092308540e+01,7.716893656524283074e+01,2.950463425680251106e+00,7.262461667040230606e-02,2.792145715913878666e+04,3.555751838186680946e-01,4.291746658970822803e-02,8.042096437619285609e+00,4.832975258324032942e-03,5.833338872259016946e-04
1.029074999999999990e-01,6.379530093827200099e-02,8.006239095179256537e+01,7.750582973998673708e+01,2.556561211805829625e+00,9.020129165898789492e-02,3.511418257585235551e+04,3.511687511959198926e-01,4.011819708794815004e-02,8.052638415826162799e+00,6.010524852415986483e-03,6.866539799172103773e-04
1.096624999999999961e-01,7.591313787974446337e-02,7.889544946407688997e+01,7.692315513427021756e+01,1.972294329806669300e+00,1.063594482686123083e-01,4.188134703126785462e+04,3.471691322140331715e-01,3.650415096689091365e-02,8.071384271298038371e+00,7.103715208287769874e-03,7.469416728825571715e-04
1.164175000000000071e-01,8.886150758474123390e-02,7.836246680367581519e+01,7.707222435155814821e+01,1.290242452117666971e+00,1.235797503237572176e-01,4.912274616246941150e+04,3.439143879932887171e-01,3.270909360683434824e-02,8.087481249083968038e+00,8.270314828179943858e-03,7.865751225220819678e-04
1.231724999999999903e-01,9.958109223135377941e-02,7.715412660143390156e+01,7.631635152211049444e+01,8.377750793234138849e-01,1.382354759288279000e-01,5.519782937621706515e+04,3.423601294779460846e-01,3.006385327546475320e-02,8.109413400466749522e+00,9.276206212011682897e-03,8.145764605712901060e-04
1.299275000000000013e-01,1.095005978504154931e-01,7.616894763886665487e+01,7.564161309059555549e+01,5.273345482710928289e-01,1.522977278109182431e-01,6.086630019477538008e+04,3.420599200549059860e-01,2.803151680410262067e-02,8.132137991301251034e+00,1.024848348133092051e-02,8.398544233927866635e-04
1.366825000000000123e-01,1.182115419106719023e-01,7.516665516292887617e+01,7.484905777976976538e+01,3.175973831591101804e-01,1.658696804531974989e-01,6.590607280097356124e+04,3.440545010173373108e-01,2.642353990781532921e-02,8.156613385576664044e+00,1.119536681526763292e-02,8.598091899717625036e-04
1.434374999999999956e-01,1.268848658069631208e-01,7.430129464327926314e+01,7.415902174205365327e+01,1.422729012256157277e-01,1.797801305001456296e-01,7.095966339501005132e+04,3.463504962063556070e-01,2.503634463233126578e-02,8.181747041829053657e+00,1.217164231924708177e-02,8.798411874212464043e-04
1.501924999999999788e-01,1.359324738886566464e-01,7.377053953770298733e+01,7.377220125205589341e+01,-1.661714352904840666e-03,1.945399275625399049e-01,7.624906585183684365e+04,3.487866807245968981e-01,2.378799638425230928e-02,8.206455760719160608e+00,1.321069982351005812e-02,9.009979365675306216e-04
1.569474999999999898e-01,1.437356017062428881e-01,7.341006844213177374e+01,7.351002414242925909e+01,-9.995570029748790386e-02,2.093624796810770461e-01,8.087604059070225048e+04,3.538870262704587599e-01,2.265707903552375418e-02,8.231895645868945621e+00,1.426133402124537923e-02,9.130602369820002562e-04
1.637025000000000008e-01,1.502359872483062520e-01,7.268280249398377180e+01,7.286499183100754351e+01,-1.821893370237772647e-01,2.228302241449642840e-01,8.482330004807309888e+04,3.591241424950538108e-01,2.175164071702877927e-02,8.260104003259046479e+00,1.523074176424153540e-02,9.225044587866708607e-04
1.704575000000000118e-01,1.562380008766501849e-01,7.204063483993259354e+01,7.229856335993027017e+01,-2.579285199976773524e-01,2.358149562117787812e-01,8.852149822839933040e+04,3.641734327575382180e-01,2.098048587977072166e-02,8.289081477072526738e+00,1.617481032926732648e-02,9.318510061306448534e-04
1.772124999999999950e-01,1.615898894083172832e-01,7.123639418934830303e+01,7.156122152004678583e+01,-3.248273306984763575e-01,2.479768817309813966e-01,9.189353437051342917e+04,3.689027634654175047e-01,2.033473258710849496e-02,8.319842366148764157e+00,1.707213099631023009e-02,9.410534506191053613e-04
1.839674999999999783e-01,1.666651280153282344e-01,7.050411493530442897e+01,7.088513292869039617e+01,-3.810179933859614843e-01,2.599872375530410396e-01,9.513975741237681359e+04,3.735731542281416351e-01,1.975929673778740320e-02,8.351445005430649715e+00,1.796698053071284912e-02,9.503223017240581454e-04
1.907224999999999893e-01,1.705765478214740505e-01,6.991497242351198338e+01,7.031205392518285180e+01,-3.970815016708617029e-01,2.720411370977247056e-01,9.774811866726618609e+04,3.804624880075956339e-01,1.930924926989205717e-02,8.383655281843342522e+00,1.887250009674928258e-02,9.578179720753931831e-04
1.974775000000000003e-01,1.737982201499654877e-01,6.930945263464879247e+01,6.969844554664305747e+01,-3.889929119942610036e-01,2.838117095513845722e-01,9.999162425577180693e+04,3.880184318324811366e-01,1.893558424735298368e-02,8.417102669979398044e+00,1.976761965886873751e-02,9.646743471757064778e-04
2.042324999999999835e-01,1.767613470397812192e-01,6.872944466278931941e+01,6.909854219997552605e+01,-3.690975371862114107e-01,2.953762538809797111e-01,1.021123622394839185e+05,3.954421189690952021e-01,1.859963426209128648e-02,8.451530182260025725e+00,2.065724341503785005e-02,9.716141856217523284e-04
2.109874999999999945e-01,1.794637800720232657e-01,6.812502695898700722e+01,6.848175133406222415e+01,-3.567243750752238096e-01,3.066785367781061922e-01,1.041094545452910970e+05,4.026974512819342378e-01,1.829778703958274272e-02,8.487068083522716577e+00,2.153785806680712928e-02,9.786382777955168321e-04
2.177425000000000055e-01,1.819433059915534501e-01,6.752914367354381397e+01,6.787100684985718146e+01,-3.418631763133676005e-01,3.177797801039171088e-01,1.060021877913340431e+05,4.098237292337029158e-01,1.802407062917787961e-02,8.523600244238785706e+00,2.241355656009642178e-02,9.857494763556714449e-04
2.244974999999999887e-01,1.842087686985635631e-01,6.691940304074107360e+01,6.724272553709113254e+01,-3.233224963500656024e-01,3.286690413151224788e-01,1.077959004052891687e+05,4.168139284215758300e-01,1.777527643146833980e-02,8.561232095905531025e+00,2.328394212200236499e-02,9.929574791327383000e-04
2.312524999999999997e-01,1.863113022001745833e-01,6.633780268891689502e+01,6.663542835217306504e+01,-2.976256632561727344e-01,3.394723945409592325e-01,1.095169819881634467e+05,4.237489802566662411e-01,1.754585840133290192e-02,8.599765164892556157e+00,2.415752835134830218e-02,1.000272783009899290e-03
2.380074999999999830e-01,1.882633459449988556e-01,6.577207641335135690e+01,6.603987353945205996e+01,-2.677971261006963366e-01,3.502074816394126766e-01,1.111722796383421810e+05,4.306402096671734236e-01,1.733347958864784460e-02,8.639230557307282510e+00,2.503582609743128240e-02,1.007704275873711136e-03
2.447624999999999940e-01,1.890858596773039302e-01,6.528237477821946300e+01,6.548923772553689560e+01,-2.068629473174271871e-01,3.609308333903175625e-01,1.121776684783550154e+05,4.398486309343828116e-01,1.721277507517742292e-02,8.679439555338273493e+00,2.592251350370304921e-02,1.014436246793853219e-03
2.515175000000000050e-01,1.896923413622750576e-01,6.477995170258333246e+01,6.492063632688051200e+01,-1.406846242971736272e-01,3.714752534542142826e-01,1.130725050583364937e+05,4.491160166353191929e-01,1.710910858479510258e-02,8.720703941569098561e+00,2.680667028465822180e-02,1.021202129759336873e-03
2.582724999999999604e-01,1.901938021834007064e-01,6.428779628456818784e+01,6.435998335040092400e+01,-7.218706583274114852e-02,3.818756682375948341e-01,1.139196661108458793e+05,4.582568375304694186e-01,1.701374622643061357e-02,8.762876056258434687e+00,2.769045542234997020e-02,1.028066234622908781e-03
2.650274999999999714e-01,1.905970595760551056e-01,6.380767185207272263e+01,6.380965167729163312e+01,-1.979825218911084300e-03,3.921250539903511911e-01,1.147220986394304346e+05,4.672649205158672103e-01,1.692592895724528285e-02,8.805929676082602242e+00,2.857335562280581207e-02,1.035024385754832865e-03
2.717824999999999824e-01,1.908980235787194057e-01,6.331092700296746756e+01,6.324192255495416504e+01,6.900444801330413158e-02,4.021597514052327460e-01,1.154783045147601806e+05,4.760843160608441704e-01,1.684542355619230228e-02,8.850000452489100056e+00,2.945122331105100646e-02,1.042080812549292090e-03
2.785374999999999379e-01,1.911092640502018158e-01,6.279520285421192938e+01,6.265478803668461438e+01,1.404148175273116084e-01,4.120282410612106649e-01,1.161951490481754590e+05,4.847576332630659790e-01,1.677114585105192457e-02,8.895094850704134970e+00,3.032766748296765111e-02,1.049245436849128351e-03
2.852925000000000044e-01,1.909455746558513523e-01,6.238481267058192969e+01,6.216257644163300000e+01,2.222362289489330789e-01,4.219853342585292433e-01,1.166891062400163210e+05,4.943706890478811733e-01,1.671787114451274772e-02,8.940566584841375786e+00,3.121934892578241000e-02,1.055728149178891597e-03
2.920474999999999599e-01,1.903995612582996544e-01,6.194306800292861936e+01,6.163366267639288765e+01,3.094053265357333271e-01,4.316899719214071229e-01,1.169613753797601094e+05,5.045627245479763490e-01,1.668469186928737275e-02,8.987126390929645936e+00,3.210363815161652867e-02,1.061591125112709005e-03
2.988024999999999709e-01,1.898114614581740134e-01,6.148263060781278710e+01,6.108791875319295883e+01,3.947118546198286615e-01,4.411619080914930824e-01,1.172167139586558915e+05,5.145103715445695780e-01,1.665393456725813154e-02,9.034652133443580979e+00,3.298153647790255660e-02,1.067563222839805525e-03
3.055574999999999819e-01,1.891916187402486460e-01,6.103398458281261441e+01,6.055423762233095175e+01,4.797469604816603228e-01,4.504939147383233977e-01,1.174588050770263653e+05,5.243110613112204055e-01,1.662510343788811684e-02,9.082972753862899040e+00,3.385933173597069357e-02,1.073627725954356266e-03
3.123124999999999374e-01,1.885420423588880512e-01,6.058890431611338556e+01,6.002531493717413724e+01,5.635893789392504294e-01,4.596973002565137301e-01,1.176888556305912643e+05,5.339766701861674569e-01,1.659801328883122803e-02,9.132116828341885650e+00,3.473800346093963709e-02,1.079788453812260919e-03
3.190674999999999484e-01,1.878708239273847724e-01,6.017990840696791111e+01,5.953252632661568811e+01,6.473820803522225553e-01,4.688295085559316955e-01,1.179090402572668099e+05,5.435675270955362404e-01,1.657237366370747228e-02,9.181890103545606863e+00,3.562119388808723808e-02,1.086024653855011905e-03
3.258224999999999594e-01,1.871676570238186288e-01,5.974863912017617196e+01,5.901930664164497387e+01,7.293324785311953162e-01,4.777400041750959336e-01,1.181165166460725304e+05,5.529255362071339164e-01,1.654848010690262300e-02,9.232602822570639134e+00,3.649868386057684988e-02,1.092367243405118014e-03
3.325774999999999704e-01,1.864382899215182854e-01,5.931280839043052566e+01,5.850259389688750389e+01,8.102144935430235506e-01,4.864698891227415833e-01,1.183130878959658439e+05,5.620938638035880563e-01,1.652608789328484373e-02,9.284146924146408963e+00,3.737312477038626929e-02,1.098804994281031523e-03
3.393324999999999814e-01,1.856870491430200887e-01,5.887861130539449306e+01,5.798842996808016181e+01,8.901813373143333541e-01,4.950687747362018110e-01,1.185005396125850821e+05,5.711246128617303297e-01,1.650496361355384065e-02,9.336477167003801370e+00,3.824811325222064740e-02,1.105334463440157261e-03
3.460874999999999369e-01,1.849234142147848092e-01,5.848861994338430748e+01,5.751845623560866017e+01,9.701637077756503080e-01,5.036264692628923401e-01,1.186812990365512233e+05,5.801121020854275168e-01,1.648481156716707571e-02,9.389332401618210255e+00,3.912953650945518586e-02,1.111928252746508059e-03
3.528424999999999478e-01,1.841334577818519169e-01,5.806258841236437718e+01,5.701401735884989819e+01,1.048571053514476770e+00,5.119524732567134473e-01,1.188518689231090830e+05,5.888562645391749450e-01,1.646599758490834703e-02,9.443166186587852451e+00,4.000448834851137031e-02,1.118632590327584388e-03
