”¼Œar[mm],—ƒŒ·’·chord[mm],æ•tŠptheta[deg]
0.0,-0.04974226972946159,nan
0.001,-0.04882552819077134,nan
0.002,-0.047908786652081106,nan
0.003,-0.04699204511339086,nan
0.004,-0.046075303574700625,nan
0.005,-0.045158562036010395,nan
0.006,-0.04424182049732015,nan
0.007,-0.043325078958629915,nan
0.008,-0.04240833741993967,nan
0.009000000000000001,-0.041491595881249434,nan
0.01,-0.0405748543425592,nan
0.011,-0.03965811280386896,nan
0.012,-0.03874137126517872,nan
0.013000000000000001,-0.03782462972648848,nan
0.014,-0.03690788818779824,nan
0.015,-0.035991146649108005,nan
0.016,-0.03507440511041776,nan
0.017,-0.034157663571727524,nan
0.018000000000000002,-0.03324092203303729,nan
0.019,-0.03232418049434704,nan
0.02,-0.031407438955656806,nan
0.021,-0.030490697416966563,nan
0.022,-0.029573955878276333,nan
0.023,-0.028657214339586096,nan
0.024,-0.027740472800895852,nan
0.025,-0.026823731262205615,nan
0.026000000000000002,-0.02590698972351537,nan
0.027,-0.02499024818482514,nan
0.028,-0.024073506646134904,nan
0.029,-0.02315676510744466,nan
0.03,-0.022240023568754423,nan
0.031,-0.021323282030064186,nan
0.032,-0.020406540491373942,nan
0.033,-0.019489798952683705,nan
0.034,-0.01857305741399346,nan
0.035,-0.017656315875303225,nan
0.036000000000000004,-0.016739574336612988,nan
0.037,-0.01582283279792275,nan
0.038,-0.014906091259232512,nan
0.039,-0.013989349720542272,nan
0.04,-0.013072608181852035,nan
0.041,-0.012155866643161794,nan
0.042,-0.011239125104471554,nan
0.043000000000000003,-0.010322383565781313,nan
0.044,-0.009405642027091083,nan
0.045,-0.008488900488400843,nan
0.046,-0.0075721589497106025,nan
0.047,-0.006655417411020362,nan
0.048,-0.0057386758723301234,nan
0.049,-0.004821934333639883,nan
0.05,-0.0039051927949496443,nan
0.051000000000000004,-0.002988451256259404,nan
0.052000000000000005,-0.0020717097175691652,nan
0.053,-0.0011549681788789318,nan
0.054,-0.00023822664018869136,nan
0.055,0.0006785148985015473,nan
0.056,0.0015952564371917869,nan
0.057,0.0025119979758820264,nan
0.058,0.003428739514572266,nan
0.059000000000000004,0.0043454810532625055,nan
0.06,0.005262222591952739,nan
0.061,0.0061789641306429785,nan
0.062,0.007095705669333218,nan
0.063,0.008012447208023459,nan
0.064,0.008929188746713697,nan
0.065,0.009845930285403938,nan
0.066,0.010762671824094176,nan
0.067,0.011679413362784417,nan
0.068,0.012596154901474657,nan
0.069,0.013512896440164896,nan
0.07,0.014457839456742174,nan
0.07100000000000001,0.01544212944546125,nan
0.07200000000000001,0.016426419434180325,nan
0.073,0.017410709422899386,nan
0.074,0.018394999411618464,nan
0.075,0.01937928940033754,nan
0.076,0.020363579389056613,nan
0.077,0.02138557090255988,82.62066748092192
0.078,0.02247386509758017,82.4858132346058
0.079,0.02356215929260046,82.35095898828969
0.08,0.02465045348762075,82.21610474197357
0.081,0.02573874768264104,82.08125049565744
0.082,0.02682704187766133,81.94639624934133
0.083,0.02791533607268162,81.81154200302521
0.084,0.02904294279171541,81.6777945029229
0.085,0.03025908259328367,81.54653943128582
0.08600000000000001,0.031475222394851926,81.41528435964874
0.08700000000000001,0.03269136219642019,81.28402928801165
0.088,0.03390750199798843,81.15277421637457
0.089,0.03512364179955668,81.0215191447375
0.09,0.03633978160112494,80.89026407310041
0.091,0.03760182328558806,80.7654545388009
0.092,0.038999752722383485,80.65972634770863
0.093,0.04039768215917892,80.55399815661636
0.094,0.04179561159597434,80.44826996552409
0.095,0.043193541032769775,80.34254177443182
0.096,0.0445914704695652,80.23681358333955
0.097,0.045989399906360626,80.13108539224729
0.098,0.04741956126838497,80.01743295938248
0.099,0.048980690326592635,79.87158202513815
0.1,0.0505418193848003,79.72573109089382
0.101,0.05210294844300796,79.5798801566495
0.10200000000000001,0.053664077501215615,79.43402922240517
0.10300000000000001,0.05522520655942328,79.28817828816084
0.10400000000000001,0.05678633561763094,79.14232735391651
0.105,0.05840898977821296,79.0110866598965
0.106,0.060401873940802306,78.96776372722637
0.107,0.06239475810339165,78.92444079455622
0.108,0.06438764226598098,78.88111786188608
