xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.955,-0.0000, 0.02831, 0.01997,-0.0934,0.9521,0.0758,-1.9007, 0.0000,-120465117977958.8750
 -2.664, 0.0500, 0.02632, 0.01743,-0.0964,0.9464,0.0769,-1.8116, 0.0000, 2.1986
 -2.030, 0.1500, 0.02299, 0.01399,-0.1022,0.9326,0.1011,-1.5442, 0.0000, 0.9367
 -1.762, 0.2000, 0.02174, 0.01290,-0.1060,0.9286,0.1358,-1.4311, 0.0000, 0.7833
 -1.309, 0.2500, 0.01831, 0.01239,-0.1045,0.9172,1.0000,-1.2491, 0.0000, 0.6701
 -0.957, 0.3000, 0.01864, 0.01223,-0.1068,0.9058,1.0000,-1.0057, 0.0000, 0.6073
 -0.679, 0.3500, 0.01874, 0.01200,-0.1104,0.8999,1.0000,-0.7860, 0.0000, 0.5660
 -0.291, 0.4000, 0.01906, 0.01203,-0.1118,0.8865,1.0000,-0.5748, 0.0000, 0.5295
  0.104, 0.4500, 0.01937, 0.01210,-0.1129,0.8728,1.0000,-0.6100, 0.0000, 0.5003
  0.508, 0.5000, 0.01964, 0.01220,-0.1136,0.8589,1.0000,-0.6478, 0.0000, 0.4763
  0.921, 0.5500, 0.01987, 0.01229,-0.1140,0.8445,1.0000,-0.6892, 0.0000, 0.4559
  1.343, 0.6000, 0.02005, 0.01236,-0.1140,0.8296,1.0000,-0.7345, 0.0000, 0.4382
  1.773, 0.6500, 0.02015, 0.01240,-0.1137,0.8143,1.0000,-0.7846, 0.0000, 0.4226
  2.208, 0.7000, 0.02017, 0.01238,-0.1130,0.7986,1.0000,-0.8404, 0.0000, 0.4088
  2.646, 0.7500, 0.02009, 0.01230,-0.1121,0.7826,1.0000,-0.9025, 0.0000, 0.3964
  3.581, 0.8500, 0.02006, 0.01237,-0.1092,0.7423,1.0000,-1.0577, 0.0000, 0.3745
  4.019, 0.9000, 0.01970, 0.01206,-0.1078,0.7243,1.0000,-1.1606, 0.0000, 0.3654
  4.500, 0.9500, 0.01962, 0.01209,-0.1060,0.6991,1.0000,-1.3167, 0.0000, 0.3567
  4.962, 1.0000, 0.01936, 0.01194,-0.1043,0.6741,1.0000,-1.5415, 0.0000, 0.3489
  5.432, 1.0500, 0.01913, 0.01180,-0.1025,0.6452,1.0000,-1.8046, 0.0000, 0.3416
  5.910, 1.1000, 0.01895, 0.01172,-0.1004,0.6107,1.0000,-2.1109, 0.0000, 0.3348
  6.415, 1.1500, 0.01891, 0.01174,-0.0979,0.5662,1.0000,-2.4692, 0.0000, 0.3280
  6.979, 1.2000, 0.01922, 0.01207,-0.0944,0.5023,1.0000,-2.8893, 0.0000, 0.3207
  7.672, 1.2500, 0.02040, 0.01317,-0.0891,0.3990,1.0000,-3.4082, 0.0000, 0.3124
  9.980, 1.3000, 0.03677, 0.02757,-0.0618,0.0775,1.0000,-4.4954, 0.0000, 0.2854
 10.594, 1.3500, 0.04210, 0.03290,-0.0594,0.0624,1.0000,-4.8895, 0.0000, 0.2810
 11.252, 1.4000, 0.04916, 0.04063,-0.0568,0.0534,1.0000,-5.2769, 0.0000, 0.2766


