RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 195.66057948879254
R_out : 1.42
R_in  : 0.059
N     : 50
M     : 50
dt    : 0.05
thrust: 21.99058177149203
eta   : 0.8878926784776189
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
7.260999999999999399e-02,5.049507537182634093e-02,8.447597793702830415e+01,8.175722285167195480e+01,2.718755085356354684e+00,6.832882711956261845e-02,2.752780118222814781e+04,3.393267617611319675e-01,4.831035293733666747e-02,7.975663534125576604e+00,1.817167663260733576e-02,2.587123122939519442e-03
9.982999999999998819e-02,8.182796162839553467e-02,8.073735604576918945e+01,7.899440765051900826e+01,1.742948395250174531e+00,1.177217908878643721e-01,4.496162503522352927e+04,3.579320027543715921e-01,3.310990330993603820e-02,8.038677258667746628e+00,3.155481676556024656e-02,2.918925728995011223e-03
1.270499999999999963e-01,1.080158880839767049e-01,7.705753815494571768e+01,7.625237532244679528e+01,8.051628324989200669e-01,1.647555562236538984e-01,5.995756420075518690e+04,3.756485856870488971e-01,2.735080346310373930e-02,8.120834627356741109e+00,4.461336133867298270e-02,3.248278642047191297e-03
1.542700000000000182e-01,1.311115550176411293e-01,7.393914088884234559e+01,7.353380314777521676e+01,4.053377410671250569e-01,2.120739764599839372e-01,7.368155518206667330e+04,3.934723918479031690e-01,2.432108288511845504e-02,8.221709765921051627e+00,5.813982643125622379e-02,3.593704582220280750e-03
1.814899999999999847e-01,1.519569856419689668e-01,7.173120830276874926e+01,7.153042100713214779e+01,2.007872956366072992e-01,2.645542676917285174e-01,8.660267276604202925e+04,4.176083231061658019e-01,2.189757938472308360e-02,8.337866779961073505e+00,7.355190630647401306e-02,3.856744748916976669e-03
2.087100000000000066e-01,1.650679324305104889e-01,6.914702077092593413e+01,6.900224744703373858e+01,1.447733238921902754e-01,3.100227395223972837e-01,9.560294007049077481e+04,4.433104519785067144e-01,2.004365590624014246e-02,8.473305460587178928e+00,8.759324630069485751e-02,3.960404905244130358e-03
2.359300000000000008e-01,1.750727097383511510e-01,6.677710901727161286e+01,6.659136368728593425e+01,1.857453299856721418e-01,3.530667870911679551e-01,1.032116964663962572e+05,4.676421177076701685e-01,1.874804848940753513e-02,8.624914308803903751e+00,1.015396972052886038e-01,4.070786387111781715e-03
2.631499999999999950e-01,1.826698486999146498e-01,6.455143430668283600e+01,6.427342064074153427e+01,2.780136659412966171e-01,3.941903392415370133e-01,1.097764223393339926e+05,4.908881779885941321e-01,1.779038844347996876e-02,8.791976728807608055e+00,1.155624434316432081e-01,4.188124404524531594e-03
2.903700000000000170e-01,1.853862190380230202e-01,6.260426262603608905e+01,6.211158637137737060e+01,4.926762546587207248e-01,4.338968301092611668e-01,1.137074181554467941e+05,5.216549687058495977e-01,1.723602863653006176e-02,8.973372110647511946e+00,1.298274014211687755e-01,4.289633844096185471e-03
3.175899999999999834e-01,1.865909966268312903e-01,6.069377652810847934e+01,5.997830581089328206e+01,7.154707172151942851e-01,4.708803682347176833e-01,1.169387547504956747e+05,5.504752394930871873e-01,1.681295097944399478e-02,9.168791704463950865e+00,1.439616781470040852e-01,4.396965501723477075e-03
