xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.080 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.415,-0.0000, 0.02890, 0.01973,-0.0856,0.9729,0.0928,-1.7885, 0.0000,-6073062469435.7021
 -2.107, 0.0500, 0.02729, 0.01790,-0.0887,0.9653,0.1003,-1.6556, 0.0000, 2.0409
 -1.833, 0.1000, 0.02606, 0.01654,-0.0924,0.9593,0.1153,-1.5582, 0.0000, 1.1814
 -1.507, 0.1500, 0.02484, 0.01545,-0.0951,0.9504,0.1507,-1.4529, 0.0000, 0.8881
 -1.156, 0.2000, 0.02115, 0.01471,-0.0955,0.9440,1.0000,-1.3369, 0.0000, 0.7299
 -0.811, 0.2500, 0.02173, 0.01467,-0.0983,0.9313,1.0000,-1.1027, 0.0000, 0.6445
 -0.102, 0.3500, 0.02294, 0.01513,-0.1035,0.9049,1.0000,-0.6508, 0.0000, 0.5456
  0.995, 0.5000, 0.02460, 0.01620,-0.1096,0.8632,1.0000,-0.6500, 0.0000, 0.4679
  1.320, 0.5500, 0.02487, 0.01637,-0.1120,0.8525,1.0000,-0.6907, 0.0000, 0.4518
  1.762, 0.6000, 0.02550, 0.01694,-0.1122,0.8331,1.0000,-0.7377, 0.0000, 0.4348
  2.571, 0.7000, 0.02608, 0.01750,-0.1129,0.8005,1.0000,-0.8449, 0.0000, 0.4083
  2.979, 0.7500, 0.02613, 0.01758,-0.1127,0.7843,1.0000,-0.9079, 0.0000, 0.3969
  3.385, 0.8000, 0.02599, 0.01752,-0.1122,0.7682,1.0000,-0.9788, 0.0000, 0.3865
  3.868, 0.8500, 0.02621, 0.01785,-0.1105,0.7444,1.0000,-1.0671, 0.0000, 0.3758
  4.282, 0.9000, 0.02574, 0.01751,-0.1093,0.7264,1.0000,-1.1771, 0.0000, 0.3668
  4.684, 0.9500, 0.02499, 0.01688,-0.1079,0.7091,1.0000,-1.3332, 0.0000, 0.3586
  5.153, 1.0000, 0.02464, 0.01673,-0.1057,0.6824,1.0000,-1.5620, 0.0000, 0.3501
  5.605, 1.0500, 0.02404, 0.01630,-0.1035,0.6550,1.0000,-1.8241, 0.0000, 0.3425
  6.048, 1.1000, 0.02329, 0.01572,-0.1012,0.6247,1.0000,-2.1228, 0.0000, 0.3354
  6.526, 1.1500, 0.02274, 0.01529,-0.0984,0.5838,1.0000,-2.4730, 0.0000, 0.3283
  7.051, 1.2000, 0.02238, 0.01501,-0.0946,0.5265,1.0000,-2.8762, 0.0000, 0.3209
  7.724, 1.2500, 0.02290, 0.01548,-0.0886,0.4297,1.0000,-3.3877, 0.0000, 0.3120
  9.906, 1.3000, 0.03872, 0.02906,-0.0620,0.0953,1.0000,-4.3924, 0.0000, 0.2856
 10.456, 1.3500, 0.04405, 0.03462,-0.0603,0.0766,1.0000,-4.7221, 0.0000, 0.2819
 11.086, 1.4000, 0.05211, 0.04336,-0.0580,0.0667,1.0000,-5.0341, 0.0000, 0.2778


