xflr5 v6,0.61,,,,,,,,,,
,,,,,,,,,,,
Calcula,ted polar,for: DAE5,1,,,,,,,,
,,,,,,,,,,,
1 1 Rey,nolds num,ber fixed,M,ach numbe,r fixed,,,,,,
,,,,,,,,,,,
xtrf =,1.000 (,top),1.000 (b,ottom),,,,,,,
Mach =,0,Re =,0.110 e,6     Ncr,it =   9,0,,,,,
,,,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------,,
-27,-0.3579,0.1447,0.14087,0.0117,1,0.0203,-0.4425,0,0,0,0.2856
-26,-0.3249,0.12835,0.12452,0.0033,1,0.0218,-0.4661,0,0,0,0.2663
-25,-0.2899,0.11146,0.10762,-0.0058,1,0.0224,-0.4994,0,0,0,0.2402
-15,-0.4954,0.19783,0.19276,-0.0023,1,0.04,-1.6407,0,0,0,0.2357
-14,-0.4691,0.18491,0.17989,-0.0093,1,0.0403,-1.6349,0,0,0,0.221
-13,-0.4317,0.15858,0.15362,-0.0115,1,0.0436,-1.493,0,0,0,0.2141
-12,-0.3998,0.14457,0.13964,-0.015,1,0.0484,-1.3619,0,0,0,0.2037
-11,-0.3747,0.13184,0.12699,-0.0203,1,0.0549,-1.3918,0,0,0,0.1874
-10,-0.3659,0.12554,0.1208,-0.0318,1,0.0634,-1.5994,0,0,0,0.1556
-8,-0.3236,0.09472,0.09034,-0.0356,1,0.0739,-1.5373,0,0,0,0.1336
-7,-0.3815,0.0907,0.08671,-0.0234,1,0.0776,-1.6,0,0,0,0.1842
-6,-0.4144,0.08308,0.07933,-0.0222,1,0.084,-1.6766,0,0,0,0.1931
-5,-0.3058,0.0629,0.05887,-0.0535,0.9799,0.101,-1.5986,0,0,0,0.0714
-4,-0.1527,0.04674,0.04163,-0.0814,0.9585,0.1556,-1.3998,0,0,0,-0.289
-3,0.0239,0.02713,0.01936,-0.0975,0.9396,0.0724,-1.7945,0,0,0,4.3777
-2,0.1778,0.02168,0.013,-0.1049,0.9178,0.0894,-1.4662,0,0,0,0.844
-1,0.323,0.01739,0.01124,-0.11,0.8967,1,-0.9704,0,0,0,0.5915
0,0.4507,0.01799,0.01117,-0.113,0.8649,1,-0.6119,0,0,0,0.5003
1,0.5661,0.01853,0.0113,-0.1131,0.8297,1,-0.7055,0,0,0,0.4483
2,0.6781,0.01877,0.01139,-0.1118,0.793,1,-0.8193,0,0,0,0.4123
3,0.7903,0.01853,0.01114,-0.1095,0.7554,1,-0.9652,0,0,0,0.3851
4,0.8994,0.01826,0.01091,-0.1065,0.7123,1,-1.1985,0,0,0,0.364
5,1.009,0.01771,0.01049,-0.1032,0.6597,1,-1.8083,0,0,0,0.3468
6,1.1103,0.01777,0.01082,-0.0992,0.5858,1,-2.4373,0,0,0,0.3327
7,1.2024,0.01834,0.01128,-0.0936,0.4759,1,-3.1033,0,0,0,0.3199
8,1.2564,0.02152,0.01356,-0.0843,0.2595,1,-3.6401,0,0,0,0.3077
9,1.2454,0.0312,0.0219,-0.0682,0.0635,1,-3.6276,0,0,0,0.294
10,1.2779,0.03809,0.02898,-0.0598,0.0426,1,-4.1254,0,0,0,0.2847
11,1.3264,0.04837,0.03978,-0.0532,0.0338,1,-4.6925,0,0,0,0.2766
12,1.3364,0.05912,0.05157,-0.046,0.0293,1,-5.0032,0,0,0,0.2694
13,1.2938,0.07579,0.06937,-0.0419,0.0282,1,-4.9634,0,0,0,0.2658
14,1.2108,0.10032,0.09489,-0.0484,0.0288,1,-4.6495,0,0,0,0.2718
15,1.1003,0.14141,0.13667,-0.0734,0.0313,1,-3.8755,0,0,0,0.2975
16,1.0387,0.1845,0.17982,-0.0951,0.0351,1,-2.904,0,0,0,0.3221
17,1.0247,0.22609,0.22134,-0.1165,0.0694,1,-1.8317,0,0,0,0.3443
18,1.0457,0.24279,0.23806,-0.126,0.0622,1,-1.7746,0,0,0,0.3495
19,1.0796,0.25881,0.25416,-0.1298,0.0566,1,-1.9207,0,0,0,0.3474
20,1.1019,0.28498,0.28034,-0.1363,0.0537,1,-1.8958,0,0,0,0.3492
21,1.1195,0.29415,0.28949,-0.1519,0.0509,1,-1.7297,0,0,0,0.3593
22,1.1448,0.30985,0.30525,-0.1627,0.0441,1,-1.6934,0,0,0,0.3637
23,1.1713,0.32603,0.32161,-0.1706,0.0395,1,-1.8021,0,0,0,0.365
24,1.2004,0.34638,0.3421,-0.1742,0.0361,1,-2.0654,0,0,0,0.3622
25,1.2223,0.37762,0.37339,-0.1808,0.0347,1,-2.0899,0,0,0,0.3628
26,1.2432,0.39133,0.38717,-0.1921,0.0344,1,-2.0632,0,0,0,0.3669
27,1.2643,0.40041,0.3963,-0.2059,0.0332,1,-2.0181,0,0,0,0.3725
28,1.2881,0.41643,0.41239,-0.2175,0.0294,1,-2.0497,0,0,0,0.3756
29,1.3088,0.43403,0.43017,-0.2263,0.0237,1,-2.1789,0,0,0,0.3767
30,1.3269,0.45415,0.45041,-0.2326,0.0212,1,-2.3897,0,0,0,0.3759
31,1.3417,0.49266,0.48896,-0.2367,0.0199,1,-2.4335,0,0,0,0.3743
32,1.3585,0.50003,0.49635,-0.2511,0.0194,1,-2.2634,0,0,0,0.3791
33,1.3797,0.51383,0.51021,-0.2644,0.0166,1,-2.0928,0,0,0,0.3823
34,1.3944,0.53381,0.53028,-0.274,0.0142,1,-2.0638,0,0,0,0.3835
35,1.4067,0.55355,0.55018,-0.2833,0.0126,1,-2.0769,0,0,0,0.3844
36,1.4165,0.5732,0.56994,-0.2922,0.0114,1,-2.143,0,0,0,0.385
37,1.422,0.5964,0.59326,-0.2989,0.0105,1,-2.345,0,0,0,0.3845
