xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.210 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -4.329,-0.0000, 0.03043, 0.02558,-0.1146,0.9292,0.0953,-1.6383, 0.0000,-3776426222.6486
 -3.870, 0.0500, 0.02746, 0.02205,-0.1159,0.9169,0.1214,-1.5123, 0.0000, 2.5914
 -3.557, 0.1000, 0.01789, 0.01063,-0.1145,0.9114,0.0414,-2.1175, 0.0000, 1.4080
 -3.101, 0.1500, 0.01629, 0.00891,-0.1140,0.9003,0.0476,-1.8576, 0.0000, 1.0176
 -2.632, 0.2000, 0.01462, 0.00713,-0.1131,0.8879,0.0544,-1.6710, 0.0000, 0.8200
 -2.167, 0.2500, 0.01358, 0.00610,-0.1124,0.8757,0.0752,-1.4696, 0.0000, 0.7025
 -1.696, 0.3000, 0.01165, 0.00539,-0.1124,0.8637,0.3952,-1.2434, 0.0000, 0.6267
 -1.076, 0.3500, 0.01014, 0.00534,-0.1067,0.8467,0.8969,-0.8981, 0.0000, 0.5555
 -0.692, 0.4000, 0.01004, 0.00500,-0.1077,0.8370,1.0000,-0.6555, 0.0000, 0.5195
 -0.241, 0.4500, 0.01007, 0.00477,-0.1072,0.8247,1.0000,-0.6237, 0.0000, 0.4879
  0.213, 0.5000, 0.01013, 0.00462,-0.1068,0.8109,1.0000,-0.6619, 0.0000, 0.4626
  0.667, 0.5500, 0.01021, 0.00452,-0.1063,0.7965,1.0000,-0.7032, 0.0000, 0.4419
  1.121, 0.6000, 0.01028, 0.00445,-0.1058,0.7816,1.0000,-0.7483, 0.0000, 0.4246
  1.576, 0.6500, 0.01036, 0.00442,-0.1053,0.7655,1.0000,-0.7979, 0.0000, 0.4098
  2.033, 0.7000, 0.01046, 0.00446,-0.1049,0.7476,1.0000,-0.8532, 0.0000, 0.3972
  2.490, 0.7500, 0.01055, 0.00449,-0.1044,0.7290,1.0000,-0.9152, 0.0000, 0.3861
  2.946, 0.8000, 0.01063, 0.00451,-0.1038,0.7101,1.0000,-0.9851, 0.0000, 0.3763
  3.408, 0.8500, 0.01078, 0.00464,-0.1033,0.6880,1.0000,-1.0662, 0.0000, 0.3675
  3.869, 0.9000, 0.01094, 0.00475,-0.1027,0.6653,1.0000,-1.1669, 0.0000, 0.3596
  4.339, 0.9500, 0.01116, 0.00497,-0.1020,0.6383,1.0000,-1.3191, 0.0000, 0.3524
  4.815, 1.0000, 0.01144, 0.00525,-0.1012,0.6086,1.0000,-1.5476, 0.0000, 0.3457
  5.301, 1.0500, 0.01181, 0.00561,-0.1002,0.5733,1.0000,-1.8176, 0.0000, 0.3394
  5.805, 1.1000, 0.01231, 0.00607,-0.0990,0.5292,1.0000,-2.1339, 0.0000, 0.3333
  6.336, 1.1500, 0.01300, 0.00667,-0.0973,0.4729,1.0000,-2.5080, 0.0000, 0.3273
  6.917, 1.2000, 0.01412, 0.00759,-0.0949,0.3923,1.0000,-2.9475, 0.0000, 0.3210
  7.603, 1.2500, 0.01624, 0.00925,-0.0912,0.2745,1.0000,-3.4696, 0.0000, 0.3140
  8.788, 1.3000, 0.02291, 0.01467,-0.0806,0.0711,1.0000,-4.2327, 0.0000, 0.3015
 10.717, 1.3500, 0.03519, 0.02739,-0.0615,0.0349,1.0000,-5.2808, 0.0000, 0.2822
 11.994, 1.4000, 0.04514, 0.03793,-0.0526,0.0276,1.0000,-6.0986, 0.0000, 0.2722


