xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.270 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -4.333,-0.0000, 0.02712, 0.02237,-0.1117,0.9074,0.0697,-1.7792, 0.0000,-95265337082.5940
 -3.852, 0.0500, 0.02370, 0.01848,-0.1120,0.8959,0.0841,-1.6376, 0.0000, 2.5137
 -3.484, 0.1000, 0.01553, 0.00868,-0.1101,0.8877,0.0354,-2.1602, 0.0000, 1.3634
 -3.022, 0.1500, 0.01438, 0.00730,-0.1093,0.8763,0.0398,-1.9016, 0.0000, 0.9857
 -2.556, 0.2000, 0.01280, 0.00567,-0.1086,0.8653,0.0471,-1.6862, 0.0000, 0.7976
 -2.100, 0.2500, 0.01182, 0.00463,-0.1081,0.8548,0.0659,-1.4756, 0.0000, 0.6851
 -1.643, 0.3000, 0.01030, 0.00405,-0.1085,0.8424,0.3200,-1.2320, 0.0000, 0.6133
 -1.141, 0.3500, 0.00916, 0.00405,-0.1072,0.8290,0.6861,-0.9249, 0.0000, 0.5572
 -0.650, 0.4000, 0.00844, 0.00380,-0.1048,0.8156,1.0000,-0.6435, 0.0000, 0.5121
 -0.205, 0.4500, 0.00851, 0.00364,-0.1047,0.8028,1.0000,-0.6275, 0.0000, 0.4821
  0.241, 0.5000, 0.00858, 0.00351,-0.1045,0.7895,1.0000,-0.6656, 0.0000, 0.4580
  0.689, 0.5500, 0.00865, 0.00343,-0.1043,0.7754,1.0000,-0.7067, 0.0000, 0.4381
  1.136, 0.6000, 0.00874, 0.00338,-0.1041,0.7603,1.0000,-0.7516, 0.0000, 0.4215
  1.586, 0.6500, 0.00882, 0.00336,-0.1038,0.7441,1.0000,-0.8011, 0.0000, 0.4074
  2.036, 0.7000, 0.00892, 0.00336,-0.1035,0.7269,1.0000,-0.8561, 0.0000, 0.3952
  2.487, 0.7500, 0.00904, 0.00339,-0.1032,0.7090,1.0000,-0.9180, 0.0000, 0.3845
  2.943, 0.8000, 0.00919, 0.00351,-0.1029,0.6878,1.0000,-0.9877, 0.0000, 0.3751
  3.400, 0.8500, 0.00937, 0.00362,-0.1025,0.6660,1.0000,-1.0687, 0.0000, 0.3666
  3.862, 0.9000, 0.00959, 0.00383,-0.1021,0.6406,1.0000,-1.1695, 0.0000, 0.3590
  4.329, 0.9500, 0.00986, 0.00406,-0.1016,0.6131,1.0000,-1.3222, 0.0000, 0.3520
  4.804, 1.0000, 0.01021, 0.00437,-0.1010,0.5821,1.0000,-1.5525, 0.0000, 0.3455
  5.290, 1.0500, 0.01064, 0.00476,-0.1002,0.5457,1.0000,-1.8237, 0.0000, 0.3394
  5.794, 1.1000, 0.01120, 0.00525,-0.0991,0.4977,1.0000,-2.1414, 0.0000, 0.3334
  6.323, 1.1500, 0.01199, 0.00589,-0.0976,0.4378,1.0000,-2.5159, 0.0000, 0.3276
  6.907, 1.2000, 0.01330, 0.00689,-0.0954,0.3490,1.0000,-2.9607, 0.0000, 0.3215
  7.570, 1.2500, 0.01542, 0.00852,-0.0923,0.2352,1.0000,-3.4741, 0.0000, 0.3149
  8.489, 1.3000, 0.01996, 0.01209,-0.0856,0.0754,1.0000,-4.1337, 0.0000, 0.3057
  9.940, 1.3500, 0.02756, 0.01984,-0.0712,0.0342,1.0000,-5.0466, 0.0000, 0.2905
 11.932, 1.4000, 0.04227, 0.03528,-0.0549,0.0234,1.0000,-6.2339, 0.0000, 0.2739


