xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.160 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.962,-0.0000, 0.02931, 0.02351,-0.1098,0.9346,0.0840,-1.7560, 0.0000,-6947083015791.7568
 -3.698, 0.0500, 0.02334, 0.01605,-0.1116,0.9316,0.0504,-2.0856, 0.0000, 2.5086
 -2.962, 0.1500, 0.01869, 0.01080,-0.1149,0.9172,0.0578,-1.7739, 0.0000, 1.0230
 -2.553, 0.2000, 0.01719, 0.00923,-0.1154,0.9075,0.0686,-1.6055, 0.0000, 0.8316
 -2.166, 0.2500, 0.01590, 0.00799,-0.1162,0.8998,0.0929,-1.4473, 0.0000, 0.7181
 -1.689, 0.3000, 0.01349, 0.00738,-0.1162,0.8868,0.5311,-1.2353, 0.0000, 0.6394
 -1.174, 0.3500, 0.01235, 0.00716,-0.1124,0.8728,1.0000,-0.9263, 0.0000, 0.5721
 -0.722, 0.4000, 0.01245, 0.00691,-0.1120,0.8593,1.0000,-0.6670, 0.0000, 0.5302
 -0.266, 0.4500, 0.01255, 0.00673,-0.1114,0.8455,1.0000,-0.6174, 0.0000, 0.4972
  0.193, 0.5000, 0.01263, 0.00660,-0.1106,0.8313,1.0000,-0.6558, 0.0000, 0.4705
  0.654, 0.5500, 0.01269, 0.00649,-0.1099,0.8167,1.0000,-0.6973, 0.0000, 0.4485
  1.115, 0.6000, 0.01275, 0.00641,-0.1090,0.8015,1.0000,-0.7428, 0.0000, 0.4300
  1.575, 0.6500, 0.01279, 0.00634,-0.1082,0.7858,1.0000,-0.7928, 0.0000, 0.4143
  2.035, 0.7000, 0.01281, 0.00627,-0.1073,0.7695,1.0000,-0.8484, 0.0000, 0.4007
  2.492, 0.7500, 0.01281, 0.00620,-0.1065,0.7527,1.0000,-0.9106, 0.0000, 0.3889
  2.961, 0.8000, 0.01292, 0.00629,-0.1056,0.7322,1.0000,-0.9810, 0.0000, 0.3786
  3.423, 0.8500, 0.01295, 0.00631,-0.1048,0.7117,1.0000,-1.0623, 0.0000, 0.3693
  3.889, 0.9000, 0.01305, 0.00641,-0.1039,0.6890,1.0000,-1.1634, 0.0000, 0.3610
  4.354, 0.9500, 0.01313, 0.00646,-0.1029,0.6653,1.0000,-1.3137, 0.0000, 0.3535
  4.831, 1.0000, 0.01331, 0.00668,-0.1019,0.6366,1.0000,-1.5413, 0.0000, 0.3465
  5.319, 1.0500, 0.01358, 0.00699,-0.1007,0.6027,1.0000,-1.8094, 0.0000, 0.3399
  5.819, 1.1000, 0.01394, 0.00734,-0.0992,0.5631,1.0000,-2.1234, 0.0000, 0.3336
  6.351, 1.1500, 0.01449, 0.00788,-0.0972,0.5085,1.0000,-2.4954, 0.0000, 0.3272
  6.927, 1.2000, 0.01539, 0.00870,-0.0946,0.4370,1.0000,-2.9273, 0.0000, 0.3208
  7.620, 1.2500, 0.01728, 0.01022,-0.0904,0.3211,1.0000,-3.4504, 0.0000, 0.3133
  9.603, 1.3000, 0.02998, 0.02142,-0.0685,0.0596,1.0000,-4.5151, 0.0000, 0.2910
 10.886, 1.3500, 0.03920, 0.03088,-0.0583,0.0409,1.0000,-5.2313, 0.0000, 0.2796
 11.845, 1.4000, 0.04703, 0.03937,-0.0525,0.0340,1.0000,-5.8597, 0.0000, 0.2724


