xflr5 v6,0.61,,,,,,,,,,
,,,,,,,,,,,
Calcula,ted polar,for: DAE5,1,,,,,,,,
,,,,,,,,,,,
1 1 Rey,nolds num,ber fixed,M,ach numbe,r fixed,,,,,,
,,,,,,,,,,,
xtrf =,1.000 (,top),1.000 (b,ottom),,,,,,,
Mach =,0,Re =,0.250 e,6     Ncr,it =   9,0,,,,,
,,,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------,,
-19,-0.6101,0.237,0.2336,0.0306,1,0.0127,-1.8617,0,0,0,0.2871
-18,-0.5772,0.22264,0.21924,0.0248,1,0.0138,-1.6758,0,0,0,0.2808
-17,-0.5453,0.20945,0.20601,0.0182,1,0.0157,-1.5669,0,0,0,0.2718
-16,-0.5138,0.19613,0.19271,0.0113,1,0.0191,-1.5409,0,0,0,0.261
-15,-0.4864,0.18792,0.18453,0.0018,1,0.0222,-1.6539,0,0,0,0.2436
-14,-0.4598,0.17525,0.17188,-0.0049,1,0.0224,-1.64,0,0,0,0.2297
-13,-0.4333,0.16158,0.15824,-0.0112,1,0.0225,-1.6027,0,0,0,0.215
-12,-0.4064,0.14731,0.14402,-0.0175,1,0.0226,-1.5635,0,0,0,0.1981
-8,-0.3312,0.0906,0.08771,-0.0351,1,0.0349,-1.7447,0,0,0,0.1376
-7,-0.2587,0.07715,0.07427,-0.0642,0.9792,0.0401,-1.8358,0,0,0,-0.005
-6,-0.1602,0.04751,0.04414,-0.1003,0.9568,0.0434,-2.0786,0,0,0,-0.3864
-5,-0.0652,0.03594,0.03206,-0.1085,0.9295,0.0513,-1.6859,0,0,0,-1.4361
-4,0.0461,0.02066,0.01472,-0.1118,0.9033,0.0333,-2.0612,0,0,0,2.7012
-3,0.1547,0.01598,0.00917,-0.1104,0.8781,0.0395,-1.7733,0,0,0,0.9702
-2,0.2634,0.01213,0.00493,-0.1092,0.853,0.0735,-1.3691,0,0,0,0.6668
-1,0.3584,0.00932,0.00461,-0.1056,0.8269,0.8165,-0.8772,0,0,0,0.5452
0,0.4735,0.0091,0.00413,-0.1053,0.799,1,-0.6441,0,0,0,0.4716
1,0.5846,0.00924,0.00389,-0.1047,0.7673,1,-0.7372,0,0,0,0.4273
2,0.6954,0.00939,0.00382,-0.1039,0.7306,1,-0.8517,0,0,0,0.3968
3,0.8057,0.00966,0.00387,-0.103,0.6887,1,-0.9987,0,0,0,0.3743
4,0.914,0.01004,0.0042,-0.102,0.6364,1,-1.2764,0,0,0,0.3571
5,1.0197,0.01073,0.00479,-0.1006,0.5718,1,-1.8797,0,0,0,0.343
6,1.1189,0.01184,0.00576,-0.0982,0.4786,1,-2.5101,0,0,0,0.3309
7,1.2008,0.01434,0.00747,-0.0937,0.2973,1,-3.1444,0,0,0,0.3199
8,1.2517,0.01986,0.01133,-0.0862,0.0517,1,-3.6385,0,0,0,0.3095
9,1.2996,0.02458,0.01626,-0.0772,0.0241,1,-4.0849,0,0,0,0.2987
10,1.3253,0.03072,0.02286,-0.0671,0.0191,1,-4.7172,0,0,0,0.2885
11,1.3613,0.03663,0.02915,-0.0605,0.0147,1,-5.4262,0,0,0,0.2807
12,1.3767,0.04542,0.03845,-0.0537,0.0124,1,-5.9334,0,0,0,0.2736
13,1.3732,0.0577,0.05161,-0.0478,0.0117,1,-6.225,0,0,0,0.2677
14,1.339,0.07473,0.06958,-0.0462,0.0119,1,-6.2697,0,0,0,0.2656
15,1.268,0.10047,0.09632,-0.0539,0.0125,1,-5.939,0,0,0,0.2719
16,1.1665,0.14095,0.13767,-0.077,0.0133,1,-5.0918,0,0,0,0.2941
17,1.0508,0.20663,0.20346,-0.1111,0.0175,1,-2.7879,0,0,0,0.3351
18,1.0531,0.23775,0.23458,-0.1257,0.0299,1,-1.9899,0,0,0,0.3479
19,1.0758,0.25487,0.25171,-0.1359,0.0261,1,-1.9391,0,0,0,0.3533
20,1.1018,0.27011,0.26698,-0.1441,0.0233,1,-2.0137,0,0,0,0.3558
21,1.1306,0.28462,0.28156,-0.1496,0.0214,1,-2.2224,0,0,0,0.3552
22,1.1471,0.30971,0.3067,-0.159,0.02,1,-2.0189,0,0,0,0.3597
23,1.1722,0.32792,0.32496,-0.1684,0.0199,1,-2.044,0,0,0,0.3627
24,1.1969,0.3455,0.34259,-0.1781,0.0197,1,-2.0793,0,0,0,0.3656
25,1.2211,0.36181,0.35896,-0.1886,0.0194,1,-2.09,0,0,0,0.3688
26,1.2468,0.3774,0.37461,-0.2005,0.0179,1,-2.0296,0,0,0,0.3728
27,1.2709,0.39473,0.392,-0.2103,0.0134,1,-2.1481,0,0,0,0.3747
28,1.2919,0.41141,0.40874,-0.2187,0.0116,1,-2.3655,0,0,0,0.3756
