”¼Œar[mm],—ƒŒ·’·chord[mm],Žæ•tŠptheta[deg]
0.059,0.034828632,86.34528888
0.06,0.03597973,86.20794054
0.061,0.037130828,86.0705922
0.062,0.038281926,85.93324385
0.063,0.039433024,85.79589551
0.064,0.040584122,85.65854717
0.065,0.04173522,85.52119883
0.066,0.042886318,85.38385048
0.067,0.044037416,85.24650214
0.068,0.045188514,85.1091538
0.069,0.046339612,84.97180545
0.07,0.04749071,84.83445711
0.071,0.048641808,84.69710877
0.072,0.049792906,84.55976043
0.073,0.050944004,84.42241208
0.074,0.052095102,84.28506374
0.075,0.053246199,84.1477154
0.076,0.054397297,84.01036705
0.077,0.055548395,83.87301871
0.078,0.056699493,83.73567037
0.079,0.057850591,83.59832203
0.08,0.059001689,83.46097368
0.081,0.060152787,83.32362534
0.082,0.061303885,83.186277
0.083,0.062454983,83.04892866
0.084,0.063606081,82.91158031
0.085,0.064757179,82.77423197
0.086,0.065908277,82.63688363
0.087,0.067059375,82.49953528
0.088,0.068210473,82.36218694
0.089,0.069361571,82.2248386
0.09,0.070512669,82.08749026
0.091,0.071663767,81.95014191
0.092,0.072814865,81.81279357
0.093,0.073965963,81.67544523
0.094,0.075117061,81.53809688
0.095,0.076268159,81.40074854
0.096,0.077419256,81.2634002
0.097,0.078570354,81.12605186
0.098,0.079721452,80.98870351
0.099,0.08087255,80.85135517
0.1,0.081991516,80.71437408
0.101,0.0829536,80.57918606
0.102,0.083915684,80.44399804
0.103,0.084877768,80.30881002
0.104,0.085839852,80.173622
0.105,0.086801936,80.03843398
0.106,0.08776402,79.90324597
0.107,0.088726104,79.76805795
0.108,0.089688188,79.63286993
0.109,0.090650272,79.49768191
0.11,0.091612356,79.36249389
0.111,0.09257444,79.22730587
0.112,0.093536524,79.09211785
0.113,0.094498608,78.95692983
0.114,0.095460692,78.82174181
0.115,0.096422776,78.68655379
0.116,0.09738486,78.55136577
0.117,0.098346944,78.41617775
0.118,0.099309028,78.28098973
0.119,0.100271112,78.14580171
0.12,0.101233196,78.01061369
0.121,0.10219528,77.87542567
0.122,0.103157364,77.74023765
0.123,0.104119448,77.60504963
0.124,0.105081532,77.46986161
0.125,0.106043616,77.33467359
0.126,0.1070057,77.19948558
0.127,0.107967784,77.06429756
0.128,0.108821946,76.94870357
0.129,0.109670427,76.83414085
0.13,0.110518909,76.71957813
0.131,0.11136739,76.60501541
0.132,0.112215872,76.49045269
0.133,0.113064353,76.37588996
0.134,0.113912835,76.26132724
0.135,0.114761316,76.14676452
0.136,0.115609798,76.0322018
0.137,0.116458279,75.91763908
0.138,0.117306761,75.80307636
0.139,0.118155242,75.68851364
0.14,0.119003724,75.57395092
0.141,0.119852205,75.4593882
0.142,0.120700687,75.34482548
0.143,0.121549168,75.23026275
0.144,0.12239765,75.11570003
0.145,0.123246131,75.00113731
0.146,0.124094613,74.88657459
0.147,0.124943094,74.77201187
0.148,0.125791576,74.65744915
0.149,0.126640057,74.54288643
