xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.090 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -2.709,-0.0000, 0.02832, 0.01970,-0.0901,0.9614,0.0821,-1.8440, 0.0000,-3686166935559.0942
 -2.447, 0.0500, 0.02684, 0.01780,-0.0939,0.9570,0.0883,-1.7314, 0.0000, 2.1458
 -2.107, 0.1000, 0.02508, 0.01585,-0.0962,0.9479,0.0966,-1.6133, 0.0000, 1.2198
 -1.841, 0.1500, 0.02397, 0.01474,-0.0999,0.9433,0.1171,-1.5075, 0.0000, 0.9211
 -1.491, 0.2000, 0.02241, 0.01371,-0.1024,0.9333,0.2022,-1.3931, 0.0000, 0.7649
 -1.063, 0.2500, 0.01995, 0.01349,-0.1013,0.9219,1.0000,-1.1773, 0.0000, 0.6571
 -0.780, 0.3000, 0.02023, 0.01335,-0.1050,0.9145,1.0000,-0.9535, 0.0000, 0.6010
 -0.411, 0.3500, 0.02067, 0.01344,-0.1071,0.9012,1.0000,-0.7224, 0.0000, 0.5563
 -0.041, 0.4000, 0.02110, 0.01360,-0.1090,0.8879,1.0000,-0.5749, 0.0000, 0.5223
  0.329, 0.4500, 0.02151, 0.01379,-0.1108,0.8748,1.0000,-0.6102, 0.0000, 0.4956
  1.109, 0.5500, 0.02220, 0.01421,-0.1131,0.8466,1.0000,-0.6897, 0.0000, 0.4540
  1.933, 0.6500, 0.02268, 0.01455,-0.1136,0.8159,1.0000,-0.7856, 0.0000, 0.4223
  2.354, 0.7000, 0.02277, 0.01464,-0.1133,0.8000,1.0000,-0.8416, 0.0000, 0.4090
  2.778, 0.7500, 0.02273, 0.01460,-0.1127,0.7840,1.0000,-0.9042, 0.0000, 0.3970
  3.203, 0.8000, 0.02255, 0.01447,-0.1118,0.7678,1.0000,-0.9744, 0.0000, 0.3861
  4.124, 0.9000, 0.02229, 0.01440,-0.1086,0.7261,1.0000,-1.1665, 0.0000, 0.3662
  5.020, 1.0000, 0.02146, 0.01380,-0.1052,0.6812,1.0000,-1.5450, 0.0000, 0.3497
  5.485, 1.0500, 0.02108, 0.01355,-0.1031,0.6527,1.0000,-1.8076, 0.0000, 0.3422
  5.942, 1.1000, 0.02063, 0.01320,-0.1011,0.6216,1.0000,-2.1079, 0.0000, 0.3353
  6.440, 1.1500, 0.02042, 0.01307,-0.0984,0.5783,1.0000,-2.4631, 0.0000, 0.3283
  7.007, 1.2000, 0.02056, 0.01331,-0.0945,0.5144,1.0000,-2.8820, 0.0000, 0.3208
  7.695, 1.2500, 0.02148, 0.01417,-0.0889,0.4138,1.0000,-3.3993, 0.0000, 0.3122
  9.954, 1.3000, 0.03776, 0.02824,-0.0619,0.0850,1.0000,-4.4577, 0.0000, 0.2855
 12.070, 1.4000, 0.06281, 0.05547,-0.0480,0.0558,1.0000,-5.3221, 0.0000, 0.2692
 12.846, 1.3500, 0.07477, 0.06840,-0.0403,0.0553,1.0000,-5.2391, 0.0000, 0.2637


