xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.140 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.709,-0.0000, 0.02667, 0.01974,-0.1046,0.9369,0.0587,-2.0284, 0.0000,-5405232479.1686
 -3.409, 0.0500, 0.02387, 0.01633,-0.1078,0.9326,0.0587,-1.9673, 0.0000, 2.4293
 -3.127, 0.1000, 0.02184, 0.01385,-0.1110,0.9297,0.0607,-1.8633, 0.0000, 1.3710
 -2.421, 0.2000, 0.01862, 0.01031,-0.1144,0.9153,0.0773,-1.5719, 0.0000, 0.8264
 -2.013, 0.2500, 0.01718, 0.00910,-0.1153,0.9044,0.1144,-1.4108, 0.0000, 0.7141
 -1.539, 0.3000, 0.01449, 0.00875,-0.1146,0.8930,0.7029,-1.1851, 0.0000, 0.6340
 -1.145, 0.3500, 0.01379, 0.00826,-0.1138,0.8847,1.0000,-0.9178, 0.0000, 0.5763
 -0.704, 0.4000, 0.01392, 0.00804,-0.1137,0.8709,1.0000,-0.6648, 0.0000, 0.5346
 -0.255, 0.4500, 0.01404, 0.00789,-0.1133,0.8569,1.0000,-0.6143, 0.0000, 0.5015
  0.199, 0.5000, 0.01415, 0.00779,-0.1127,0.8425,1.0000,-0.6525, 0.0000, 0.4746
  0.657, 0.5500, 0.01423, 0.00770,-0.1119,0.8278,1.0000,-0.6941, 0.0000, 0.4522
  1.117, 0.6000, 0.01428, 0.00761,-0.1110,0.8127,1.0000,-0.7396, 0.0000, 0.4333
  1.577, 0.6500, 0.01430, 0.00753,-0.1100,0.7972,1.0000,-0.7897, 0.0000, 0.4171
  2.036, 0.7000, 0.01430, 0.00743,-0.1090,0.7814,1.0000,-0.8453, 0.0000, 0.4031
  2.514, 0.7500, 0.01444, 0.00756,-0.1079,0.7612,1.0000,-0.9081, 0.0000, 0.3909
  2.978, 0.8000, 0.01443, 0.00753,-0.1069,0.7423,1.0000,-0.9786, 0.0000, 0.3801
  3.434, 0.8500, 0.01436, 0.00743,-0.1059,0.7238,1.0000,-1.0599, 0.0000, 0.3706
  3.909, 0.9000, 0.01445, 0.00758,-0.1047,0.6999,1.0000,-1.1617, 0.0000, 0.3620
  4.375, 0.9500, 0.01447, 0.00759,-0.1036,0.6763,1.0000,-1.3122, 0.0000, 0.3542
  4.846, 1.0000, 0.01454, 0.00769,-0.1024,0.6495,1.0000,-1.5383, 0.0000, 0.3470
  5.336, 1.0500, 0.01474, 0.00796,-0.1010,0.6162,1.0000,-1.8060, 0.0000, 0.3403
  5.830, 1.1000, 0.01499, 0.00820,-0.0994,0.5785,1.0000,-2.1176, 0.0000, 0.3338
  6.362, 1.1500, 0.01544, 0.00869,-0.0973,0.5258,1.0000,-2.4879, 0.0000, 0.3273
  6.936, 1.2000, 0.01623, 0.00943,-0.0945,0.4566,1.0000,-2.9169, 0.0000, 0.3207
  7.630, 1.2500, 0.01796, 0.01086,-0.0900,0.3443,1.0000,-3.4396, 0.0000, 0.3130
  9.886, 1.3000, 0.03322, 0.02442,-0.0646,0.0604,1.0000,-4.5874, 0.0000, 0.2876
 11.333, 1.4000, 0.04554, 0.03719,-0.0574,0.0403,1.0000,-5.5461, 0.0000, 0.2768


