xflr5 v6,0.61,,,,,,,,,,
,,,,,,,,,,,
Calcula,ted polar,for: DAE5,1,,,,,,,,
,,,,,,,,,,,
1 1 Rey,nolds num,ber fixed,M,ach numbe,r fixed,,,,,,
,,,,,,,,,,,
xtrf =,1.000 (,top),1.000 (b,ottom),,,,,,,
Mach =,0,Re =,0.090 e,6     Ncr,it =   9,0,,,,,
,,,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
-------,--------,---------,---------,--------,-------,-------,--------,---------,---------,,
-19,-0.1094,0.02411,0.02082,-0.0261,1,0.045,-0.2467,0,0,0,0.0652
-18,-0.1095,0.02195,0.01881,-0.0225,1,0.0494,-0.2189,0,0,0,0.0969
-17,-0.1095,0.02005,0.01704,-0.0199,1,0.0545,-0.2107,0,0,0,0.1186
-16,-0.1104,0.01863,0.01574,-0.0181,1,0.0601,-0.2097,0,0,0,0.1336
-15,-0.1189,0.01902,0.01624,-0.0174,1,0.0632,-0.2483,0,0,0,0.1452
-14,-0.1287,0.01817,0.01554,-0.0164,1,0.064,-0.2701,0,0,0,0.1599
-13,-0.1102,0.01248,0.00994,-0.0127,1,0.072,-0.174,0,0,0,0.1759
-12,-0.1097,0.01082,0.00839,-0.011,1,0.0806,-0.1754,0,0,0,0.189
-11,-0.0883,0.00788,0.00557,-0.0186,0.9752,0.0909,-0.2056,0,0,0,0.0873
-10,-0.0432,0.00391,0.00174,-0.0222,0.9302,0.0982,-0.0884,0,0,0,-0.1682
-9,-0.0351,0.00301,0.00081,-0.0214,0.894,0.1118,-0.0378,0,0,0,-0.2509
-8,-0.0488,0.00255,0.00045,-0.0228,0.8511,0.1208,-0.09,0,0,0,-0.1449
-7,-0.0027,0.00119,-0.0008,-0.0225,0.8089,0.1437,0.0518,0,0,0,-6.8187
-6,-0.012,0.0009,-0.00098,-0.0202,0.7773,0.159,0.0215,0,0,0,-1.189
-5,-0.0302,0.00074,-0.00105,-0.0177,0.7445,0.18,-0.015,0,0,0,-0.2539
-4,-0.0278,0.00048,-0.00122,-0.0149,0.7115,0.1925,-0.0067,0,0,0,-0.2124
-3,-0.0577,0.00031,-0.00126,-0.0138,0.6673,0.2129,-0.055,0,0,0,0.0397
-2,-0.0367,0.00016,-0.00135,-0.0109,0.6355,0.2254,0.0084,0,0,0,-0.0156
0,0.396,0.02137,0.01395,-0.1075,0.8818,1,-0.5732,0,0,0,0.5211
1,0.533,0.02231,0.0144,-0.1123,0.8474,1,-0.6765,0,0,0,0.4592
2,0.6597,0.02274,0.01468,-0.1136,0.8122,1,-0.7974,0,0,0,0.4197
3,0.7659,0.02343,0.01542,-0.1114,0.769,1,-0.9326,0,0,0,0.392
4,0.8803,0.0229,0.01502,-0.1086,0.726,1,-1.1305,0,0,0,0.3691
5,0.9903,0.02218,0.01461,-0.1047,0.6748,1,-1.7274,0,0,0,0.3503
6,1.1006,0.02104,0.01379,-0.1001,0.609,1,-2.3825,0,0,0,0.3344
7,1.1995,0.02059,0.01331,-0.094,0.5071,1,-3.0706,0,0,0,0.3205
8,1.2538,0.02279,0.0149,-0.0837,0.3089,1,-3.6158,0,0,0,0.3074
9,1.2348,0.03283,0.02323,-0.0667,0.0814,1,-3.6073,0,0,0,0.2933
10,1.283,0.04188,0.03235,-0.0588,0.0532,1,-3.9913,0,0,0,0.2838
11,1.3263,0.04951,0.04069,-0.0522,0.0419,1,-4.6011,0,0,0,0.2758
12,1.3295,0.06442,0.05649,-0.0453,0.0355,1,-4.8371,0,0,0,0.2691
15,1.0425,0.16509,0.15996,-0.0861,0.0465,1,-2.9341,0,0,0,0.3146
16,1.026,0.19522,0.18998,-0.1001,0.0499,1,-2.4541,0,0,0,0.3289
17,1.0246,0.22717,0.22195,-0.1164,0.0836,1,-1.8247,0,0,0,0.3443
18,1.0599,0.25344,0.2483,-0.1162,0.0764,1,-1.945,0,0,0,0.3387
19,1.0735,0.26546,0.26028,-0.131,0.0746,1,-1.7755,0,0,0,0.3495
20,1.0921,0.27748,0.27231,-0.1444,0.0639,1,-1.6723,0,0,0,0.3579
21,1.1232,0.29391,0.28884,-0.1495,0.0571,1,-1.8002,0,0,0,0.3567
22,1.1532,0.32613,0.32124,-0.1525,0.0538,1,-1.885,0,0,0,0.3541
23,1.1704,0.33287,0.32799,-0.1671,0.0525,1,-1.8011,0,0,0,0.3624
24,1.1941,0.34524,0.34041,-0.1802,0.0465,1,-1.7686,0,0,0,0.3681
25,1.219,0.36218,0.35746,-0.189,0.0417,1,-1.8425,0,0,0,0.3699
26,1.2432,0.37973,0.37513,-0.1964,0.038,1,-1.9645,0,0,0,0.3703
27,1.2676,0.42383,0.41937,-0.1964,0.0348,1,-2.2075,0,0,0,0.365
28,1.2866,0.43797,0.43357,-0.2075,0.0346,1,-2.2448,0,0,0,0.3686
29,1.3045,0.44273,0.43847,-0.2221,0.0338,1,-2.1844,0,0,0,0.3743
30,1.3274,0.45475,0.45054,-0.2356,0.0279,1,-2.134,0,0,0,0.3784
31,1.3456,0.47365,0.46954,-0.2446,0.0243,1,-2.1823,0,0,0,0.3794
32,1.361,0.4938,0.48981,-0.2518,0.0216,1,-2.2988,0,0,0,0.3792
33,1.3715,0.53465,0.53072,-0.2551,0.0199,1,-2.3444,0,0,0,0.3771
34,1.3861,0.54408,0.5402,-0.2684,0.0195,1,-2.2002,0,0,0,0.3808
35,1.4036,0.5557,0.55195,-0.282,0.0182,1,-2.0587,0,0,0,0.384
36,1.4167,0.57544,0.5718,-0.2922,0.016,1,-2.0203,0,0,0,0.3852
37,1.4264,0.59575,0.59222,-0.3018,0.0143,1,-2.1018,0,0,0,0.3862
38,1.4341,0.61593,0.61252,-0.3111,0.0129,1,-2.1891,0,0,0,0.387
39,1.4395,0.636,0.63271,-0.3203,0.0118,1,-2.2847,0,0,0,0.3876
40,1.4417,0.65706,0.65395,-0.3284,0.0109,1,-2.4081,0,0,0,0.3878
