xflr5 v6.47

 Calculated polar for: DAE51

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.290 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -3.925, 0.0500, 0.01705, 0.01051,-0.1095,0.8921,0.0323,-2.4077, 0.0000, 2.4684
 -3.458, 0.1000, 0.01477, 0.00794,-0.1088,0.8817,0.0336,-2.1991, 0.0000, 1.3498
 -2.995, 0.1500, 0.01361, 0.00664,-0.1080,0.8706,0.0383,-1.9158, 0.0000, 0.9772
 -2.535, 0.2000, 0.01229, 0.00525,-0.1076,0.8589,0.0453,-1.6946, 0.0000, 0.7922
 -2.083, 0.2500, 0.01148, 0.00439,-0.1072,0.8476,0.0630,-1.4735, 0.0000, 0.6817
 -1.629, 0.3000, 0.01001, 0.00376,-0.1076,0.8366,0.2994,-1.2295, 0.0000, 0.6103
 -1.144, 0.3500, 0.00891, 0.00372,-0.1068,0.8245,0.6471,-0.9268, 0.0000, 0.5560
 -0.641, 0.4000, 0.00806, 0.00349,-0.1041,0.8109,1.0000,-0.6409, 0.0000, 0.5103
 -0.198, 0.4500, 0.00813, 0.00334,-0.1041,0.7978,1.0000,-0.6284, 0.0000, 0.4808
  0.247, 0.5000, 0.00820, 0.00324,-0.1040,0.7842,1.0000,-0.6664, 0.0000, 0.4569
  0.692, 0.5500, 0.00828, 0.00316,-0.1038,0.7700,1.0000,-0.7074, 0.0000, 0.4373
  1.139, 0.6000, 0.00836, 0.00311,-0.1037,0.7549,1.0000,-0.7523, 0.0000, 0.4209
  1.587, 0.6500, 0.00846, 0.00309,-0.1035,0.7391,1.0000,-0.8018, 0.0000, 0.4069
  2.036, 0.7000, 0.00857, 0.00310,-0.1033,0.7219,1.0000,-0.8568, 0.0000, 0.3948
  2.488, 0.7500, 0.00870, 0.00319,-0.1030,0.7022,1.0000,-0.9185, 0.0000, 0.3842
  2.942, 0.8000, 0.00885, 0.00328,-0.1027,0.6818,1.0000,-0.9883, 0.0000, 0.3748
  3.399, 0.8500, 0.00904, 0.00342,-0.1024,0.6589,1.0000,-1.0691, 0.0000, 0.3665
  3.860, 0.9000, 0.00928, 0.00360,-0.1020,0.6344,1.0000,-1.1701, 0.0000, 0.3589
  4.327, 0.9500, 0.00957, 0.00384,-0.1016,0.6067,1.0000,-1.3231, 0.0000, 0.3519
  4.801, 1.0000, 0.00992, 0.00418,-0.1010,0.5749,1.0000,-1.5536, 0.0000, 0.3455
  5.287, 1.0500, 0.01036, 0.00456,-0.1002,0.5375,1.0000,-1.8251, 0.0000, 0.3394
  5.792, 1.1000, 0.01095, 0.00506,-0.0991,0.4888,1.0000,-2.1433, 0.0000, 0.3335
  6.319, 1.1500, 0.01176, 0.00571,-0.0977,0.4269,1.0000,-2.5178, 0.0000, 0.3277
  6.902, 1.2000, 0.01309, 0.00672,-0.0956,0.3372,1.0000,-2.9626, 0.0000, 0.3216
  7.558, 1.2500, 0.01520, 0.00833,-0.0926,0.2249,1.0000,-3.4734, 0.0000, 0.3152
  8.436, 1.3000, 0.01940, 0.01162,-0.0866,0.0750,1.0000,-4.1166, 0.0000, 0.3065
  9.701, 1.3500, 0.02560, 0.01790,-0.0744,0.0345,1.0000,-4.9562, 0.0000, 0.2932
 11.812, 1.4000, 0.04042, 0.03350,-0.0565,0.0226,1.0000,-6.2214, 0.0000, 0.2752


